ZIP_CODE,Positive,Negative,Probable,date
15521,266,0,183,2022-09-20
15522,2039,0,923,2022-09-20
15530,963,0,371,2022-09-20
15531,645,0,301,2022-09-20
15533,194,0,114,2022-09-20
15534,109,0,91,2022-09-20
15535,328,0,125,2022-09-20
15536,59,0,37,2022-09-20
15537,1351,0,597,2022-09-20
15538,101,0,51,2022-09-20
15539,109,0,58,2022-09-20
15541,633,0,249,2022-09-20
15542,241,0,79,2022-09-20
15545,449,0,241,2022-09-20
15546,60,0,27,2022-09-20
15550,247,0,147,2022-09-20
15552,1276,0,313,2022-09-20
15554,316,0,278,2022-09-20
15555,14,0,11,2022-09-20
15558,325,0,76,2022-09-20
15559,306,0,208,2022-09-20
15562,30,0,8,2022-09-20
15563,484,0,261,2022-09-20
15564,22,0,10,2022-09-20
15705,105,0,120,2022-09-20
15711,69,0,20,2022-09-20
15714,1054,0,473,2022-09-20
15716,111,0,50,2022-09-20
15720,29,0,10,2022-09-20
15721,26,0,7,2022-09-20
15722,409,0,184,2022-09-20
15724,366,0,158,2022-09-20
15728,523,0,306,2022-09-20
15729,215,0,97,2022-09-20
15730,11,0,6,2022-09-20
15739,82,0,39,2022-09-20
15742,194,0,61,2022-09-20
15744,15,0,11,2022-09-20
15750,42,0,15,2022-09-20
15753,57,0,31,2022-09-20
15757,249,0,108,2022-09-20
15758,5,0,-1,2022-09-20
15759,421,0,154,2022-09-20
15760,27,0,8,2022-09-20
15762,139,0,78,2022-09-20
15763,-1,0,-1,2022-09-20
15764,14,0,-1,2022-09-20
15765,244,0,94,2022-09-20
15767,2148,0,766,2022-09-20
15770,25,0,10,2022-09-20
15771,135,0,51,2022-09-20
15772,235,0,79,2022-09-20
15773,117,0,43,2022-09-20
15775,-1,0,-1,2022-09-20
15776,11,0,5,2022-09-20
15777,21,0,15,2022-09-20
15778,31,0,13,2022-09-20
15780,32,0,-1,2022-09-20
15784,24,0,6,2022-09-20
15801,3105,0,2052,2022-09-20
15821,22,0,7,2022-09-20
15823,154,0,113,2022-09-20
15824,669,0,497,2022-09-20
15825,1765,0,651,2022-09-20
15827,42,0,25,2022-09-20
15828,44,0,8,2022-09-20
15829,214,0,63,2022-09-20
15832,28,0,11,2022-09-20
15834,563,0,255,2022-09-20
15840,259,0,155,2022-09-20
15845,450,0,271,2022-09-20
15846,436,0,328,2022-09-20
15848,132,0,112,2022-09-20
15849,196,0,116,2022-09-20
15851,892,0,582,2022-09-20
15853,1029,0,556,2022-09-20
15856,113,0,64,2022-09-20
15857,1862,0,1545,2022-09-20
15860,196,0,55,2022-09-20
15861,19,0,5,2022-09-20
15864,333,0,101,2022-09-20
15865,183,0,127,2022-09-20
15866,19,0,25,2022-09-20
15868,223,0,165,2022-09-20
15870,154,0,95,2022-09-20
15901,721,0,245,2022-09-20
15902,2176,0,971,2022-09-20
15904,3054,0,1599,2022-09-20
15905,3757,0,2112,2022-09-20
15906,1932,0,997,2022-09-20
15909,1007,0,454,2022-09-20
15920,186,0,67,2022-09-20
15924,170,0,104,2022-09-20
15926,426,0,253,2022-09-20
15927,218,0,111,2022-09-20
15928,328,0,266,2022-09-20
15931,1809,0,846,2022-09-20
15934,44,0,47,2022-09-20
15935,443,0,281,2022-09-20
15936,280,0,173,2022-09-20
15938,502,0,235,2022-09-20
15940,855,0,567,2022-09-20
15942,317,0,218,2022-09-20
15943,661,0,442,2022-09-20
15944,534,0,238,2022-09-20
15945,49,0,20,2022-09-20
15946,1224,0,650,2022-09-20
15949,176,0,60,2022-09-20
15951,144,0,74,2022-09-20
15952,229,0,163,2022-09-20
15953,13,0,5,2022-09-20
15954,424,0,162,2022-09-20
15955,347,0,235,2022-09-20
15956,552,0,318,2022-09-20
15957,59,0,56,2022-09-20
15958,329,0,245,2022-09-20
15960,56,0,56,2022-09-20
15961,180,0,107,2022-09-20
15963,1760,0,1344,2022-09-20
16020,230,0,59,2022-09-20
16022,94,0,27,2022-09-20
16025,1127,0,333,2022-09-20
16028,358,0,65,2022-09-20
16030,58,0,15,2022-09-20
16036,28,0,8,2022-09-20
16038,654,0,140,2022-09-20
16040,150,0,60,2022-09-20
16041,321,0,100,2022-09-20
16049,561,0,131,2022-09-20
16050,286,0,81,2022-09-20
16051,451,0,189,2022-09-20
16057,2482,0,578,2022-09-20
16061,462,0,123,2022-09-20
16101,5843,0,2849,2022-09-20
16102,894,0,448,2022-09-20
16105,2352,0,1317,2022-09-20
16110,67,0,26,2022-09-20
16111,159,0,47,2022-09-20
16112,238,0,121,2022-09-20
16114,77,0,31,2022-09-20
16116,415,0,224,2022-09-20
16121,901,0,192,2022-09-20
16124,234,0,91,2022-09-20
16125,2924,0,861,2022-09-20
16127,2949,0,781,2022-09-20
16130,314,0,79,2022-09-20
16131,151,0,44,2022-09-20
16133,217,0,59,2022-09-20
16134,544,0,177,2022-09-20
16137,2198,0,585,2022-09-20
16142,727,0,357,2022-09-20
16143,415,0,203,2022-09-20
16145,465,0,122,2022-09-20
16146,2623,0,633,2022-09-20
16148,3295,0,1042,2022-09-20
16150,1273,0,425,2022-09-20
16153,410,0,106,2022-09-20
16154,369,0,125,2022-09-20
16156,436,0,190,2022-09-20
16159,812,0,261,2022-09-20
16172,68,0,87,2022-09-20
16213,25,0,5,2022-09-20
16214,1677,0,308,2022-09-20
16217,14,0,-1,2022-09-20
16218,259,0,41,2022-09-20
16224,234,0,42,2022-09-20
16225,7,0,-1,2022-09-20
16232,766,0,136,2022-09-20
16233,186,0,62,2022-09-20
16234,13,0,-1,2022-09-20
16235,236,0,68,2022-09-20
16239,1774,0,97,2022-09-20
16240,240,0,65,2022-09-20
16242,938,0,144,2022-09-20
16248,605,0,115,2022-09-20
16253,21,0,-1,2022-09-20
16254,723,0,218,2022-09-20
16255,509,0,85,2022-09-20
16258,387,0,70,2022-09-20
16260,42,0,7,2022-09-20
16301,2981,0,661,2022-09-20
16311,75,0,17,2022-09-20
16313,278,0,117,2022-09-20
16314,1088,0,340,2022-09-20
16316,1051,0,309,2022-09-20
16317,312,0,65,2022-09-20
16319,220,0,58,2022-09-20
16321,28,0,-1,2022-09-20
16323,3172,0,693,2022-09-20
16326,73,0,16,2022-09-20
16327,511,0,130,2022-09-20
16329,53,0,21,2022-09-20
16331,13,0,6,2022-09-20
16332,17,0,-1,2022-09-20
16333,39,0,8,2022-09-20
16334,90,0,14,2022-09-20
16335,5979,0,1565,2022-09-20
16340,270,0,98,2022-09-20
16341,476,0,50,2022-09-20
16342,590,0,85,2022-09-20
16345,429,0,215,2022-09-20
16346,548,0,102,2022-09-20
16347,360,0,118,2022-09-20
16350,314,0,110,2022-09-20
16351,274,0,74,2022-09-20
16353,467,0,59,2022-09-20
16354,2694,0,244,2022-09-20
16360,259,0,46,2022-09-20
16362,188,0,55,2022-09-20
16364,155,0,47,2022-09-20
16365,2942,0,1290,2022-09-20
16371,510,0,354,2022-09-20
16372,82,0,25,2022-09-20
16373,619,0,119,2022-09-20
16374,259,0,46,2022-09-20
16401,801,0,103,2022-09-20
16402,94,0,17,2022-09-20
16403,1920,0,261,2022-09-20
16404,558,0,60,2022-09-20
16405,95,0,16,2022-09-20
16406,648,0,292,2022-09-20
16407,2016,0,292,2022-09-20
16410,362,0,48,2022-09-20
16411,281,0,37,2022-09-20
16412,2074,0,384,2022-09-20
16415,1837,0,316,2022-09-20
16417,1835,0,430,2022-09-20
16420,117,0,17,2022-09-20
16421,527,0,56,2022-09-20
16423,809,0,133,2022-09-20
16424,796,0,217,2022-09-20
16426,844,0,115,2022-09-20
16428,2556,0,281,2022-09-20
16430,10,0,5,2022-09-20
16433,1115,0,349,2022-09-20
16434,324,0,53,2022-09-20
16435,292,0,80,2022-09-20
16436,117,0,25,2022-09-20
16438,1335,0,203,2022-09-20
16440,131,0,36,2022-09-20
16441,2110,0,339,2022-09-20
16442,518,0,86,2022-09-20
16443,288,0,27,2022-09-20
16444,72,0,35,2022-09-20
16501,386,0,32,2022-09-20
16502,3516,0,509,2022-09-20
16503,3263,0,442,2022-09-20
16504,3475,0,515,2022-09-20
16505,3190,0,448,2022-09-20
16506,5050,0,663,2022-09-20
16507,1933,0,245,2022-09-20
16508,3251,0,563,2022-09-20
16509,5679,0,1244,2022-09-20
16510,5160,0,705,2022-09-20
16511,2566,0,310,2022-09-20
16565,-1,0,-1,2022-09-20
16601,6806,0,1632,2022-09-20
16602,5900,0,1543,2022-09-20
16611,468,0,94,2022-09-20
16613,275,0,84,2022-09-20
16616,25,0,9,2022-09-20
16617,622,0,116,2022-09-20
16620,87,0,19,2022-09-20
16621,144,0,39,2022-09-20
16622,54,0,13,2022-09-20
16623,85,0,33,2022-09-20
16625,593,0,267,2022-09-20
16627,319,0,144,2022-09-20
16630,783,0,364,2022-09-20
16634,62,0,12,2022-09-20
16635,2212,0,585,2022-09-20
16636,157,0,47,2022-09-20
16637,464,0,151,2022-09-20
16639,180,0,53,2022-09-20
16640,167,0,81,2022-09-20
16641,481,0,192,2022-09-20
16645,21,0,5,2022-09-20
16646,528,0,190,2022-09-20
16647,147,0,38,2022-09-20
16648,3459,0,949,2022-09-20
16650,284,0,103,2022-09-20
16651,690,0,135,2022-09-20
16652,3972,0,677,2022-09-20
16655,277,0,164,2022-09-20
16656,227,0,78,2022-09-20
16657,232,0,53,2022-09-20
16659,43,0,18,2022-09-20
16661,178,0,36,2022-09-20
16662,863,0,333,2022-09-20
16664,243,0,86,2022-09-20
16666,674,0,112,2022-09-20
16667,232,0,118,2022-09-20
16668,663,0,247,2022-09-20
16669,430,0,88,2022-09-20
16670,22,0,7,2022-09-20
16671,124,0,18,2022-09-20
16673,829,0,297,2022-09-20
16674,122,0,44,2022-09-20
16678,507,0,139,2022-09-20
16679,156,0,44,2022-09-20
16680,113,0,10,2022-09-20
16682,33,0,16,2022-09-20
16683,56,0,10,2022-09-20
16685,57,0,20,2022-09-20
16686,3110,0,508,2022-09-20
16689,64,0,71,2022-09-20
16691,60,0,38,2022-09-20
16692,114,0,39,2022-09-20
16693,861,0,201,2022-09-20
16695,141,0,60,2022-09-20
16701,2752,0,890,2022-09-20
16720,224,0,41,2022-09-20
16724,20,0,-1,2022-09-20
16726,76,0,30,2022-09-20
16727,47,0,14,2022-09-20
16729,116,0,29,2022-09-20
16731,402,0,91,2022-09-20
16732,41,0,12,2022-09-20
16734,50,0,14,2022-09-20
16735,1065,0,342,2022-09-20
16738,278,0,368,2022-09-20
16740,159,0,49,2022-09-20
16743,799,0,73,2022-09-20
16744,48,0,16,2022-09-20
16745,88,0,26,2022-09-20
16746,250,0,19,2022-09-20
16748,500,0,78,2022-09-20
16749,732,0,221,2022-09-20
16750,60,0,9,2022-09-20
16801,9923,0,1373,2022-09-20
16802,2047,0,313,2022-09-20
16803,4173,0,836,2022-09-20
16820,207,0,29,2022-09-20
16821,94,0,14,2022-09-20
16822,581,0,34,2022-09-20
16823,7117,0,627,2022-09-20
16827,947,0,122,2022-09-20
16828,949,0,93,2022-09-20
16829,203,0,25,2022-09-20
16830,3148,0,747,2022-09-20
16832,99,0,10,2022-09-20
16833,1114,0,319,2022-09-20
16836,230,0,27,2022-09-20
16837,36,0,8,2022-09-20
16838,291,0,150,2022-09-20
16839,132,0,16,2022-09-20
16840,108,0,9,2022-09-20
16841,1238,0,111,2022-09-20
16844,602,0,59,2022-09-20
16845,536,0,33,2022-09-20
16850,19,0,-1,2022-09-20
16852,56,0,5,2022-09-20
16854,201,0,18,2022-09-20
16858,845,0,147,2022-09-20
16859,112,0,6,2022-09-20
16860,69,0,17,2022-09-20
16861,70,0,13,2022-09-20
16863,146,0,29,2022-09-20
16864,22,0,0,2022-09-20
16865,266,0,29,2022-09-20
16866,2434,0,321,2022-09-20
16870,1564,0,207,2022-09-20
16871,9,0,-1,2022-09-20
16872,190,0,17,2022-09-20
16874,313,0,41,2022-09-20
16875,747,0,82,2022-09-20
16876,55,0,8,2022-09-20
16877,328,0,31,2022-09-20
16878,430,0,80,2022-09-20
16879,112,0,8,2022-09-20
16881,443,0,114,2022-09-20
16882,46,0,5,2022-09-20
16901,1812,0,569,2022-09-20
16912,352,0,214,2022-09-20
16914,538,0,57,2022-09-20
16915,1284,0,130,2022-09-20
16917,232,0,82,2022-09-20
16920,328,0,139,2022-09-20
16921,90,0,16,2022-09-20
16922,253,0,46,2022-09-20
16923,212,0,15,2022-09-20
16925,793,0,89,2022-09-20
16926,153,0,24,2022-09-20
16927,75,0,16,2022-09-20
16928,233,0,56,2022-09-20
16929,409,0,112,2022-09-20
16930,173,0,80,2022-09-20
16932,133,0,34,2022-09-20
16933,918,0,337,2022-09-20
16935,193,0,63,2022-09-20
16936,440,0,71,2022-09-20
16937,34,0,5,2022-09-20
16938,106,0,27,2022-09-20
16939,7,0,11,2022-09-20
16940,35,0,7,2022-09-20
16941,13,0,0,2022-09-20
16942,123,0,34,2022-09-20
16943,59,0,11,2022-09-20
16946,502,0,95,2022-09-20
16947,1200,0,203,2022-09-20
16948,226,0,22,2022-09-20
16950,529,0,155,2022-09-20
17002,83,0,-1,2022-09-20
17003,2572,0,404,2022-09-20
17004,867,0,45,2022-09-20
17005,41,0,7,2022-09-20
17006,133,0,29,2022-09-20
17007,978,0,226,2022-09-20
17009,604,0,16,2022-09-20
17011,6300,0,2032,2022-09-20
17013,6762,0,1967,2022-09-20
17014,33,0,-1,2022-09-20
17015,3917,0,971,2022-09-20
17017,257,0,33,2022-09-20
17018,672,0,204,2022-09-20
17019,3175,0,1148,2022-09-20
17020,1528,0,493,2022-09-20
17021,157,0,23,2022-09-20
17022,6806,0,910,2022-09-20
17023,461,0,81,2022-09-20
17024,289,0,88,2022-09-20
17025,2979,0,1043,2022-09-20
17026,778,0,123,2022-09-20
17028,644,0,131,2022-09-20
17029,112,0,-1,2022-09-20
17030,112,0,14,2022-09-20
17032,1314,0,325,2022-09-20
17033,3388,0,655,2022-09-20
17034,547,0,107,2022-09-20
17035,157,0,6,2022-09-20
17036,4141,0,973,2022-09-20
17037,142,0,24,2022-09-20
17038,1968,0,303,2022-09-20
17040,385,0,128,2022-09-20
17042,11034,0,1944,2022-09-20
17043,941,0,376,2022-09-20
17044,6624,0,267,2022-09-20
17045,509,0,116,2022-09-20
17046,9125,0,1167,2022-09-20
17047,441,0,90,2022-09-20
17048,661,0,66,2022-09-20
17049,664,0,56,2022-09-20
17050,6564,0,2411,2022-09-20
17051,1054,0,99,2022-09-20
17052,298,0,97,2022-09-20
17053,783,0,281,2022-09-20
17055,6878,0,2610,2022-09-20
17057,4916,0,840,2022-09-20
17058,485,0,106,2022-09-20
17059,1795,0,115,2022-09-20
17060,203,0,37,2022-09-20
17061,1130,0,213,2022-09-20
17062,591,0,120,2022-09-20
17063,754,0,34,2022-09-20
17064,141,0,18,2022-09-20
17065,768,0,201,2022-09-20
17066,1156,0,266,2022-09-20
17067,3066,0,492,2022-09-20
17068,715,0,279,2022-09-20
17070,2742,0,946,2022-09-20
17071,-1,0,0,2022-09-20
17073,1055,0,205,2022-09-20
17074,1111,0,269,2022-09-20
17076,10,0,-1,2022-09-20
17078,4799,0,829,2022-09-20
17080,42,0,6,2022-09-20
17082,745,0,33,2022-09-20
17084,1034,0,54,2022-09-20
17086,468,0,71,2022-09-20
17087,565,0,95,2022-09-20
17090,819,0,256,2022-09-20
17094,453,0,32,2022-09-20
17097,93,0,-1,2022-09-20
17098,399,0,56,2022-09-20
17099,389,0,7,2022-09-20
17101,493,0,76,2022-09-20
17102,1630,0,269,2022-09-20
17103,2616,0,395,2022-09-20
17104,3937,0,555,2022-09-20
17109,4866,0,1244,2022-09-20
17110,5510,0,994,2022-09-20
17111,7300,0,1658,2022-09-20
17112,6000,0,1993,2022-09-20
17113,2277,0,409,2022-09-20
17120,-1,0,-1,2022-09-20
17201,7202,0,1635,2022-09-20
17202,7310,0,1756,2022-09-20
17211,47,0,22,2022-09-20
17212,123,0,88,2022-09-20
17213,73,0,36,2022-09-20
17214,282,0,28,2022-09-20
17215,55,0,43,2022-09-20
17217,21,0,-1,2022-09-20
17219,68,0,17,2022-09-20
17220,101,0,15,2022-09-20
